stop_id,quantidade_ocorrencias,stop_lat,stop_lon
2032O00028C0,84,-22.908498,-43.209965
1008O00022S0,84,-22.91013,-43.205583
1005O00030S0,70,-22.900515,-43.177892
5140O00008C0,70,-22.861664,-43.448712
5139O00234C0,68,-22.863269,-43.439895
3039O00008C0,68,-22.87796,-43.24145
5141O00026C9,67,-22.860023,-43.457794
5135O00012C9,67,-22.861795,-43.41057
3039O00038C0,67,-22.884608,-43.236203
1158O00001C0,66,-22.885926,-43.228785
5139O00235C9,66,-22.86227,-43.44518
3039O00009C0,66,-22.88592,-43.23489
5141O00025C0,65,-22.859405,-43.46113
5139O00230C0,65,-22.86376,-43.43729
5139O00231C0,65,-22.864042,-43.435499
5135O00013C0,64,-22.853299,-43.393713
5140O00073C0,64,-22.861062,-43.451848
5139O00232C9,64,-22.864645,-43.43201
5139O00233C0,64,-22.866032,-43.425502
5162O00021C0,62,-22.85609,-43.4926
3040O00015C0,61,-22.87026,-43.24704
3040O00042C0,60,-22.855944,-43.248033
3041O00014C0,60,-22.85489,-43.24796
5162O00005C0,60,-22.85552,-43.48228
3082O00002C0,60,-22.88283,-43.34025
3041O00013C0,60,-22.853,-43.24792
1008O00005S0,59,-22.908619,-43.201048
1010O00130C1,59,-22.900021,-43.211165
5162O00022C0,58,-22.855105,-43.487509
3040O00013C1,56,-22.86074,-43.24814
dies,56,-22.856472,-43.248027
1010O00021C0,55,-22.89479,-43.21542
5141O00024C9,54,-22.857615,-43.472534
1158O00010C0,54,-22.88639,-43.22657
5141O00315C9,53,-22.857112,-43.496716
3083O00083C0,53,-22.879495,-43.332542
3082O00018C0,52,-22.882534,-43.33687
3083O00082C0,52,-22.877572,-43.335695
3040O00014C1,52,-22.86471,-43.24819
3106O00013C9,51,-22.84486,-43.37643
5134O00038C9,51,-22.84688,-43.37968
5141O00256C9,51,-22.880073,-43.466605
3106O00044C9,51,-22.845803,-43.377968
1158O00012C0,50,-22.88901,-43.22447
1010O00047C0,49,-22.8904,-43.21891
tsbj,49,-22.891756,-43.222178
5144O00049C9,49,-22.89362,-43.5589
3106O00046C2,47,-22.840251,-43.368941
5144O00486P9,47,-22.9016,-43.55535
3106O00045C2,45,-22.8431,-43.37356
3106O00011C9,45,-22.84171,-43.37129
5144O00051C9,45,-22.88821,-43.55958
3064O00002C0,45,-22.88744,-43.2864
5144O00052C9,45,-22.886297,-43.558288
1008O00019S0,45,-22.907776,-43.198426
5141O00260C9,44,-22.880286,-43.470283
5139O00043C9,44,-22.878132,-43.433947
5134O00023C0,44,-22.85069,-43.38404
5144O00068C9,43,-22.90253,-43.56061
5144O00050C9,43,-22.89185,-43.55925
1012O00039C0,43,-22.89788,-43.24049
5144O00463C1,43,-22.90363,-43.56352
5141O00041C9,43,-22.87973,-43.46439
5135O00001C9,42,-22.85307,-43.393978
3106O00009C1,42,-22.84578,-43.37888
