stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1005O00030S0,74,-22.900515,-43.177892
1008O00022S0,67,-22.91013,-43.205583
2032O00028C0,67,-22.908498,-43.209965
4128O00172C0,51,-23.0065,-43.309209
4128O00109C0,48,-23.00633,-43.312271
1005O00249S0,46,-22.90266,-43.17553
3066O00060C1,45,-22.88522,-43.2901
3065O00046C1,45,-22.887427,-43.284126
3082O00015C0,44,-22.880945,-43.324178
3066O00059C1,44,-22.886637,-43.287836
1005O00152S0,44,-22.90519,-43.17367
1005O00018S0,43,-22.90853,-43.17225
3083O00017C0,43,-22.87777,-43.336183
3066O00058C1,42,-22.88708,-43.28657
ejlo,42,-22.89211,-43.214487
3053O00009C1,42,-22.878595,-43.266048
1008O00005S0,42,-22.908619,-43.201048
1012O00034C0,41,-22.89443,-43.23866
1012O00032C0,41,-22.897413,-43.236747
3071O00036C1,41,-22.882097,-43.292739
1012O00033C0,41,-22.89618,-43.23688
2020O00012C0,40,-22.952751,-43.175966
3082O00002C0,40,-22.88283,-43.34025
3079O00011C1,40,-22.88489,-43.31306
3082O00017C0,40,-22.881116,-43.330479
3079O00012C1,40,-22.884551,-43.315317
3079O00010C1,40,-22.88353,-43.31986
3064O00002C0,39,-22.88744,-43.2864
3070O00006C1,39,-22.88538,-43.30128
3069O00013C1,39,-22.88614,-43.30788
3069O00014C1,39,-22.8852,-43.31011
3083O00035C0,38,-22.87924,-43.34165
3069O00011C1,38,-22.88639,-43.30314
3065O00045C1,38,-22.886308,-43.279923
3069O00012C1,38,-22.88659,-43.306
3065O00044C1,37,-22.88727,-43.28219
3083O00083C0,37,-22.879495,-43.332542
3053O00010C1,37,-22.88085,-43.27387
3053O00011C1,37,-22.88295,-43.2763
4128O00139C0,37,-23.007424,-43.306098
3082O00013C1,37,-22.8828,-43.32159
3082O00014C1,37,-22.88227,-43.3239
3082O00018C0,36,-22.882534,-43.33687
4128O00057C0,36,-22.999349,-43.35729
1012O00009C1,36,-22.88533,-43.25221
1004O00006C0,36,-22.88546,-43.22908
3082O00016C0,36,-22.88163,-43.32648
1012O00035C9,36,-22.898993,-43.239452
3083O00082C0,36,-22.877572,-43.335695
1012O00036C9,36,-22.89905,-43.23663
1012O00044C0,36,-22.89067,-43.24193
3053O00012C1,36,-22.88404,-43.27717
1012O00043C0,36,-22.891622,-43.240485
3157O00003C0,35,-22.877531,-43.240994
3066O00003C2,35,-22.885668,-43.290084
3039O00005C0,35,-22.884006,-43.235933
3039O00006C0,35,-22.880673,-43.238808
3039O00021C0,35,-22.88557,-43.23452
3071O00006C2,35,-22.8842,-43.29133
1003O00026C0,35,-22.907569,-43.209274
3082O00019C0,34,-22.882138,-43.331007
1008O00030S0,34,-22.909665,-43.206426
4128O00018C0,34,-23.000356,-43.357617
3071O00016C1,34,-22.88154,-43.29443
1158O00001C0,33,-22.885926,-43.228785
1004O00003C0,33,-22.8886,-43.22001
1004O00005C0,33,-22.88464,-43.2265
3071O00005C2,33,-22.88182,-43.29431
3070O00005C1,33,-22.8846,-43.29814
4128O00138C0,33,-23.007165,-43.310983
3071O00017C1,33,-22.882831,-43.29628
1012O00008C1,33,-22.887018,-43.250415
6oes,33,-22.887372,-43.223594
3157O00005C2,32,-22.864536,-43.247635
3157O00006C0,32,-22.86092,-43.2475
3065O00004C0,32,-22.88591,-43.27898
3065O00003C0,32,-22.887155,-43.280679
3065O00001C0,32,-22.887738,-43.283511
1005O00158S0,32,-22.903662,-43.187524
3063O00014C0,32,-22.904107,-43.275817
5139O00010C9,32,-22.876478,-43.426874
3039O00009C0,32,-22.88592,-43.23489
3039O00038C0,32,-22.884608,-43.236203
3070O00001C2,32,-22.88548,-43.30031
2031O00002C0,32,-22.99816,-43.26568
2031O00001C0,32,-22.999269,-43.269144
3106O00013C9,31,-22.84486,-43.37643
