stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1005O00248C0,18,-22.91073,-43.188238
1161O00028C0,18,-22.91401,-43.1771
1161O00021S0,18,-22.91241,-43.18541
1161O00020S0,17,-22.912949,-43.182542
3039O00005C0,14,-22.884006,-43.235933
3039O00021C0,14,-22.88557,-43.23452
3157O00003C0,14,-22.877531,-43.240994
3039O00006C0,14,-22.880673,-43.238808
1004O00005C0,14,-22.88464,-43.2265
1004O00003C0,14,-22.8886,-43.22001
1004O00006C0,14,-22.88546,-43.22908
ejlo,13,-22.89211,-43.214487
1003O00028C0,13,-22.907146,-43.209478
1005O00030S0,13,-22.900515,-43.177892
6oes,12,-22.887372,-43.223594
56qn,12,-22.903383,-43.209714
3157O00020C9,12,-22.87532,-43.242603
1005O00219C0,12,-22.912419,-43.174325
5141O00264C9,11,-22.879971,-43.478288
5142O00008C9,11,-22.882037,-43.482647
5141O00033C9,11,-22.880703,-43.480071
4128O00109C0,11,-23.00633,-43.312271
5142O00075C9,11,-22.88261,-43.487531
5135O00001C9,11,-22.85307,-43.393978
4128O00172C0,11,-23.0065,-43.309209
5141O00031C9,11,-22.879357,-43.476893
5141O00029C9,11,-22.877109,-43.473056
3157O00009C0,10,-22.851669,-43.247233
5139O00204C9,10,-22.86538,-43.425586
5139O00002C9,10,-22.865192,-43.422267
5139O00003C9,10,-22.86502,-43.42724
3157O00005C2,10,-22.864536,-43.247635
3157O00007C0,10,-22.85692,-43.24747
3157O00006C0,10,-22.86092,-43.2475
5135O00002C0,10,-22.8621,-43.41192
1005O00004S0,10,-22.905275,-43.192459
2020O00012C0,10,-22.952751,-43.175966
5o6j,10,-22.906503,-43.17581
4128O00082C0,10,-23.004624,-43.319744
5141O00030C9,10,-22.878237,-43.474677
5139O00004C9,10,-22.864184,-43.432799
1008O00002S0,10,-22.909508,-43.205978
3157O00008C0,10,-22.853761,-43.247339
1005O00190C0,10,-22.909323,-43.174306
1005O00189C0,10,-22.90843,-43.17465
5139O00006C9,10,-22.8634,-43.43716
1008O00001S0,10,-22.90769,-43.20011
1008O00022S0,9,-22.91013,-43.205583
1005O00012S0,9,-22.905624,-43.193575
5139O00205C9,9,-22.862677,-43.441036
4121O00043C0,9,-22.92592,-43.35676
4121O00044C0,9,-22.924848,-43.358395
3110O00047C0,9,-22.83084,-43.34498
3110O00061C2,9,-22.831529,-43.343929
3qix,9,-23.001109,-43.367264
1008O00026S0,9,-22.9075,-43.19952
4128O00083C0,9,-23.002636,-43.324602
4128O00139C0,9,-23.007424,-43.306098
djub,9,-22.996211,-43.260525
4128O00033C0,9,-23.008462,-43.303731
5134O00003C0,9,-22.85086,-43.38424
4128O00084C0,9,-23.00146,-43.32749
2031O00014C0,9,-22.99749,-43.26473
2031O00013C0,9,-22.99468,-43.25777
5141O00010C9,9,-22.87553,-43.46543
4121O00042C0,9,-22.92791,-43.35545
4123O00037C0,9,-22.922448,-43.360733
4123O00039C0,9,-22.917656,-43.361086
4123O00033P1,9,-22.915626,-43.361259
2032O00028C0,9,-22.908498,-43.209965
2031O00018C0,9,-22.992183,-43.253819
4123O00038C0,9,-22.919982,-43.360245
1008O00005S0,9,-22.908619,-43.201048
3106O00001C0,8,-22.83941,-43.36856
wcdt,8,-23.001475,-43.3652
1005O00194S9,8,-22.90467,-43.17793
1005O00018S0,8,-22.90853,-43.17225
3063O00007C2,8,-22.82991,-43.27026
1005O00249S0,8,-22.90266,-43.17553
3110O00003C1,8,-22.832236,-43.354663
3110O00052C0,8,-22.833444,-43.357947
3106O00006C0,8,-22.84272,-43.37389
5144O00022C9,8,-22.86029,-43.51662
5144O00024C9,8,-22.8608,-43.53325
5144O00422C9,8,-22.8602,-43.5215
3110O00006C1,8,-22.831184,-43.352072
3043O00008C0,8,-22.83359,-43.2637
3106O00048C1,8,-22.841234,-43.371505
2035O00074C0,8,-22.91798,-43.234696
2035O00091C0,8,-22.916618,-43.235029
5139O00008C9,8,-22.86207,-43.44451
3040O00015C0,8,-22.87026,-43.24704
5141O00255C9,8,-22.860431,-43.513455
3112O00002C1,8,-22.8366,-43.363926
2031O00002C0,8,-22.99816,-43.26568
5134O00002C0,8,-22.847904,-43.382307
4121O00041C0,8,-22.93089,-43.35338
5162O00002C9,8,-22.854785,-43.487522
5162O00001C9,8,-22.85523,-43.48228
4121O00040C0,8,-22.93376,-43.35248
2031O00008C0,8,-22.995057,-43.25731
2031O00007C0,8,-22.99609,-43.25938
2031O00001C0,8,-22.999269,-43.269144
2031O00009C0,8,-22.993626,-43.254208
5162O00003C9,8,-22.8553,-43.49289
5162O00007C9,8,-22.85476,-43.49044
5140O00080C9,8,-22.860843,-43.451217
5140O00079C9,8,-22.861314,-43.44854
4128O00223C0,8,-23.007562,-43.303971
5141O00005C9,8,-22.85867,-43.502831
5141O00004C9,8,-22.85681,-43.49683
5141O00001C9,8,-22.859704,-43.457426
4128O00090C0,8,-22.999791,-43.346258
4128O00091C0,8,-22.99971,-43.35033
4128O00086C0,8,-23.000258,-43.333797
4128O00085C0,8,-23.00054,-43.33026
4128O00089C0,8,-22.999832,-43.343872
4128O00087C0,8,-22.99995,-43.33863
1005O00152S0,8,-22.90519,-43.17367
4128O00138C0,8,-23.007165,-43.310983
1005O00055S0,7,-22.9021,-43.182164
3040O00013C1,7,-22.86074,-43.24814
3040O00014C1,7,-22.86471,-43.24819
3039O00008C0,7,-22.87796,-43.24145
3039O00009C0,7,-22.88592,-43.23489
1005O00171C1,7,-22.901639,-43.181276
1005O00193S9,7,-22.90242,-43.17877
3039O00038C0,7,-22.884608,-43.236203
4115O00235C0,7,-22.970055,-43.359563
4115O00236C0,7,-22.962285,-43.357
4115O00237C0,7,-22.957879,-43.356618
1010O00021C0,7,-22.89479,-43.21542
1010O00047C0,7,-22.8904,-43.21891
1010O00130C1,7,-22.900021,-43.211165
5141O00213C9,7,-22.85738,-43.46871
5141O00254C9,7,-22.8568,-43.47218
4120O00090C0,7,-22.93785,-43.33885
4120O00091C0,7,-22.93875,-43.34048
4120O00092C0,7,-22.93943,-43.34277
3157O00011C0,7,-22.84303,-43.25054
3157O00012C0,7,-22.83988,-43.25343
3110O00050C0,7,-22.83201,-43.34291
3110O00004C0,7,-22.831512,-43.347712
4120O00098C0,7,-22.936831,-43.351093
5137O00011C9,7,-22.886543,-43.392907
5137O00012C9,7,-22.885748,-43.397508
3106O00009C1,7,-22.84578,-43.37888
3043O00004C0,7,-22.83677,-43.25775
3043O00005C0,7,-22.834471,-43.262022
2031O00023C0,7,-22.992413,-43.252342
2031O00026C0,7,-22.998975,-43.270729
3106O00007C1,7,-22.84398,-43.37593
3106O00008C0,7,-22.8444,-43.37664
5135O00022C9,7,-22.88447,-43.40385
5134O00023C0,7,-22.85069,-43.38404
1158O00001C0,7,-22.885926,-43.228785
1158O00010C0,7,-22.88639,-43.22657
1158O00012C0,7,-22.88901,-43.22447
5144O00066C9,7,-22.900908,-43.549671
4127O00059C0,7,-22.977391,-43.333742
2029O00031C0,7,-22.97852,-43.22751
4127O00058C0,7,-22.9755,-43.33111
4128O00021C0,7,-23.000491,-43.349954
