stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1008O00022S0,140,-22.91013,-43.205583
2032O00028C0,133,-22.908498,-43.209965
1005O00030S0,126,-22.900515,-43.177892
ejlo,91,-22.89211,-43.214487
1008O00005S0,88,-22.908619,-43.201048
1005O00249S0,72,-22.90266,-43.17553
56qn,72,-22.903383,-43.209714
1003O00028C0,72,-22.907146,-43.209478
2020O00012C0,68,-22.952751,-43.175966
1008O00002S0,68,-22.909508,-43.205978
1005O00152S0,67,-22.90519,-43.17367
3083O00083C0,66,-22.879495,-43.332542
3083O00082C0,65,-22.877572,-43.335695
1005O00180C0,65,-22.90664,-43.18006
1008O00030S0,65,-22.909665,-43.206426
1005O00020S0,64,-22.90723,-43.18272
1005O00158S0,63,-22.903662,-43.187524
1005O00004S0,63,-22.905275,-43.192459
1158O00001C0,63,-22.885926,-43.228785
1004O00006C0,63,-22.88546,-43.22908
5o6j,63,-22.906503,-43.17581
1005O00012S0,63,-22.905624,-43.193575
1005O00018S0,63,-22.90853,-43.17225
1003O00026C0,61,-22.907569,-43.209274
1008O00001S0,60,-22.90769,-43.20011
3039O00021C0,59,-22.88557,-43.23452
1005O00181C0,59,-22.90649,-43.17764
1005O00060C0,59,-22.90623,-43.193405
3064O00002C0,59,-22.88744,-43.2864
1004O00003C0,59,-22.8886,-43.22001
3157O00003C0,59,-22.877531,-43.240994
3039O00005C0,59,-22.884006,-43.235933
3039O00006C0,59,-22.880673,-43.238808
6oes,59,-22.887372,-43.223594
1004O00005C0,58,-22.88464,-43.2265
1005O00189C0,56,-22.90843,-43.17465
1012O00032C0,56,-22.897413,-43.236747
3039O00038C0,55,-22.884608,-43.236203
1005O00198C0,55,-22.9044,-43.18332
1012O00033C0,55,-22.89618,-43.23688
3039O00008C0,55,-22.87796,-43.24145
1012O00034C0,55,-22.89443,-43.23866
2035O00059C0,54,-22.910653,-43.221862
4128O00057C0,54,-22.999349,-43.35729
1008O00026S0,54,-22.9075,-43.19952
1005O00197C0,53,-22.905593,-43.182786
1010O00130C1,53,-22.900021,-43.211165
3039O00009C0,53,-22.88592,-43.23489
1005O00190C0,53,-22.909323,-43.174306
1010O00020C0,52,-22.90617,-43.21025
4128O00018C0,52,-23.000356,-43.357617
3082O00015C0,52,-22.880945,-43.324178
2033O00186C0,51,-22.921477,-43.219876
3065O00046C1,51,-22.887427,-43.284126
3157O00005C2,51,-22.864536,-43.247635
3157O00006C0,50,-22.86092,-43.2475
1005O00094C0,50,-22.90988,-43.16846
