stop_id,quantidade_ocorrencias,stop_lat,stop_lon
2032O00028C0,53,-22.908498,-43.209965
1008O00022S0,52,-22.91013,-43.205583
1005O00030S0,51,-22.900515,-43.177892
3083O00083C0,39,-22.879495,-43.332542
3083O00082C0,39,-22.877572,-43.335695
3082O00015C0,36,-22.880945,-43.324178
1008O00005S0,35,-22.908619,-43.201048
3039O00008C0,34,-22.87796,-43.24145
4128O00172C0,34,-23.0065,-43.309209
5o6j,33,-22.906503,-43.17581
3082O00017C0,32,-22.881116,-43.330479
3070O00006C1,32,-22.88538,-43.30128
3082O00014C1,32,-22.88227,-43.3239
3064O00002C0,32,-22.88744,-43.2864
2035O00059C0,32,-22.910653,-43.221862
3053O00008C0,32,-22.878863,-43.265859
3065O00046C1,32,-22.887427,-43.284126
3039O00038C0,32,-22.884608,-43.236203
3069O00011C1,32,-22.88639,-43.30314
3066O00060C1,31,-22.88522,-43.2901
3066O00058C1,31,-22.88708,-43.28657
3066O00059C1,31,-22.886637,-43.287836
1005O00180C0,31,-22.90664,-43.18006
1005O00181C0,31,-22.90649,-43.17764
4128O00109C0,31,-23.00633,-43.312271
3039O00009C0,31,-22.88592,-43.23489
3083O00017C0,30,-22.87777,-43.336183
3155O00002C0,30,-22.88517,-43.25266
3079O00010C1,30,-22.88353,-43.31986
1158O00001C0,30,-22.885926,-43.228785
3083O00035C0,30,-22.87924,-43.34165
1005O00198C0,30,-22.9044,-43.18332
3069O00012C1,30,-22.88659,-43.306
3069O00013C1,30,-22.88614,-43.30788
1005O00060C0,30,-22.90623,-43.193405
3069O00014C1,30,-22.8852,-43.31011
3082O00007C0,30,-22.88058,-43.32313
1012O00036C9,30,-22.89905,-43.23663
1012O00035C9,30,-22.898993,-43.239452
1012O00034C0,30,-22.89443,-43.23866
1012O00033C0,30,-22.89618,-43.23688
1012O00032C0,30,-22.897413,-43.236747
3082O00013C1,30,-22.8828,-43.32159
3041O00013C0,30,-22.853,-43.24792
3041O00014C0,29,-22.85489,-43.24796
3082O00041C1,29,-22.882414,-43.327022
3040O00015C0,29,-22.87026,-43.24704
3079O00011C1,29,-22.88489,-43.31306
3063O00013C9,29,-22.904487,-43.27298
1005O00020S0,29,-22.90723,-43.18272
3079O00012C1,29,-22.884551,-43.315317
3083O00026C0,29,-22.87407,-43.33687
3083O00027C0,29,-22.872642,-43.338874
3082O00002C0,29,-22.88283,-43.34025
3040O00042C0,29,-22.855944,-43.248033
3082O00054C0,29,-22.881225,-43.329656
3053O00009C1,29,-22.878595,-43.266048
3063O00014C0,29,-22.904107,-43.275817
1012O00009C1,28,-22.88533,-43.25221
r156,28,-22.877169,-43.336312
3082O00016C0,28,-22.88163,-43.32648
5134O00038C9,28,-22.84688,-43.37968
3083O00081C0,28,-22.875623,-43.339006
2031O00002C0,27,-22.99816,-43.26568
5135O00013C0,27,-22.853299,-43.393713
1012O00012C0,27,-22.890765,-43.242335
3066O00003C2,27,-22.885668,-43.290084
3082O00009C0,27,-22.87774,-43.3268
3082O00010C0,27,-22.87782,-43.32906
3110O00036C0,27,-22.831528,-43.344526
1010O00130C1,27,-22.900021,-43.211165
3071O00006C2,27,-22.8842,-43.29133
1005O00234C0,27,-22.908392,-43.189263
3110O00037C0,27,-22.83246,-43.34291
3110O00038C0,27,-22.83518,-43.341
3071O00036C1,27,-22.882097,-43.292739
1005O00376S2,27,-22.903617,-43.185315
3076O00146C0,27,-22.820558,-43.319558
3106O00013C9,27,-22.84486,-43.37643
3082O00018C0,27,-22.882534,-43.33687
3106O00044C9,27,-22.845803,-43.377968
3077O00009C0,27,-22.83734,-43.3399
4128O00057C0,27,-22.999349,-43.35729
1012O00013C0,26,-22.891768,-43.240794
3065O00004C0,26,-22.88591,-43.27898
3083O00012C0,26,-22.87903,-43.33149
1005O00094C0,26,-22.90988,-43.16846
3065O00003C0,26,-22.887155,-43.280679
dies,26,-22.856472,-43.248027
5141O00256C9,25,-22.880073,-43.466605
2032O00020C0,25,-22.910504,-43.214342
3076O00024C2,25,-22.832239,-43.328348
2032O00021C0,25,-22.91154,-43.214381
3053O00007C0,25,-22.881083,-43.272751
3106O00001C0,25,-22.83941,-43.36856
3076O00016C9,25,-22.83048,-43.3269
5149O00193C9,25,-22.91523,-43.68527
5149O00203C9,25,-22.91555,-43.68352
1012O00044C0,25,-22.89067,-43.24193
5135O00012C9,25,-22.861795,-43.41057
2020O00059S0,25,-22.951101,-43.183259
ejlo,25,-22.89211,-43.214487
3157O00007C0,25,-22.85692,-43.24747
1005O00018S0,25,-22.90853,-43.17225
3082O00019C0,25,-22.882138,-43.331007
3157O00008C0,25,-22.853761,-43.247339
1005O00249S0,25,-22.90266,-43.17553
3052O00001C0,25,-22.87833,-43.26397
3065O00001C0,25,-22.887738,-43.283511
1010O00021C0,25,-22.89479,-43.21542
3157O00006C0,25,-22.86092,-43.2475
5144O00486P9,25,-22.9016,-43.55535
3157O00009C0,25,-22.851669,-43.247233
3071O00005C2,25,-22.88182,-43.29431
2035O00079C0,25,-22.910814,-43.21828
2035O00078C0,25,-22.909899,-43.22033
5140O00008C0,25,-22.861664,-43.448712
2035O00077C0,25,-22.911776,-43.234086
3040O00014C1,25,-22.86471,-43.24819
5139O00234C0,25,-22.863269,-43.439895
3157O00005C2,25,-22.864536,-43.247635
3052O00002C1,25,-22.878337,-43.261822
5139O00233C0,25,-22.866032,-43.425502
3040O00013C1,25,-22.86074,-43.24814
2031O00009C0,25,-22.993626,-43.254208
1012O00043C0,25,-22.891622,-43.240485
2031O00001C0,25,-22.999269,-43.269144
3155O00001C0,25,-22.882581,-43.254845
2031O00007C0,25,-22.99609,-43.25938
2031O00008C0,25,-22.995057,-43.25731
3157O00003C0,25,-22.877531,-43.240994
5144O00125C0,24,-22.917826,-43.563646
3071O00016C1,24,-22.88154,-43.29443
1005O00197C0,24,-22.905593,-43.182786
5144O00122C9,24,-22.91321,-43.5641
1012O00039C0,24,-22.89788,-43.24049
4128O00089C0,24,-22.999832,-43.343872
5141O00026C9,24,-22.860023,-43.457794
2035O00087C0,24,-22.911268,-43.224872
3106O00048C1,24,-22.841234,-43.371505
3070O00001C2,24,-22.88548,-43.30031
1005O00012S0,24,-22.905624,-43.193575
2020O00072S0,24,-22.946944,-43.182126
5139O00235C9,24,-22.86227,-43.44518
5139O00230C0,24,-22.86376,-43.43729
5139O00009C9,24,-22.87672,-43.423429
5139O00010C9,24,-22.876478,-43.426874
4128O00087C0,24,-22.99995,-43.33863
5144O00463C1,24,-22.90363,-43.56352
1008O00002S0,24,-22.909508,-43.205978
2031O00014C0,24,-22.99749,-43.26473
5139O00231C0,24,-22.864042,-43.435499
5144O00068C9,24,-22.90253,-43.56061
2020O00153S2,24,-22.953242,-43.189239
5140O00073C0,24,-22.861062,-43.451848
1005O00152S0,24,-22.90519,-43.17367
5139O00232C9,24,-22.864645,-43.43201
3106O00006C0,24,-22.84272,-43.37389
3053O00006C0,24,-22.8822,-43.2754
4128O00086C0,24,-23.000258,-43.333797
4124O00004C0,24,-22.898012,-43.352228
3076O00017C1,24,-22.83228,-43.32865
3065O00005C0,24,-22.88441,-43.27719
5144O00123C9,24,-22.91518,-43.56349
3155O00003C0,24,-22.886927,-43.250822
4128O00091C0,24,-22.99971,-43.35033
1006O00015C0,24,-22.91618,-43.19452
4128O00090C0,24,-22.999791,-43.346258
2031O00013C0,23,-22.99468,-43.25777
5139O00011C9,23,-22.87629,-43.42894
3052O00003C0,23,-22.880188,-43.259389
3065O00044C1,23,-22.88727,-43.28219
5141O00260C9,23,-22.880286,-43.470283
3069O00003C2,23,-22.88646,-43.30281
1003O00028C0,23,-22.907146,-43.209478
3039O00005C0,23,-22.884006,-43.235933
3039O00006C0,23,-22.880673,-43.238808
3106O00045C2,23,-22.8431,-43.37356
3065O00045C1,23,-22.886308,-43.279923
3040O00052C2,23,-22.867246,-43.255591
5139O00012C9,23,-22.87607,-43.4317
3039O00021C0,23,-22.88557,-43.23452
2035O00071C0,23,-22.915485,-43.229139
4124O00006C0,23,-22.89818,-43.350146
a3cr,23,-22.999633,-43.353628
djub,23,-22.996211,-43.260525
3079O00040C2,23,-22.88498,-43.31429
2020O00020S0,23,-22.951935,-43.185606
1012O00008C1,23,-22.887018,-43.250415
3071O00017C1,23,-22.882831,-43.29628
2020O00057S0,23,-22.95233,-43.186717
5141O00025C0,23,-22.859405,-43.46113
2035O00086C0,23,-22.913135,-43.22715
56qn,23,-22.903383,-43.209714
3069O00058C2,23,-22.88672,-43.306443
3070O00005C1,23,-22.8846,-43.29814
1005O00241C0,22,-22.90795,-43.19572
3069O00057C2,22,-22.88562,-43.30967
tsbj,22,-22.891756,-43.222178
2035O00002S0,22,-22.91533,-43.2325
4128O00139C0,22,-23.007424,-43.306098
1010O00047C0,22,-22.8904,-43.21891
3063O00027S9,22,-22.90576,-43.27688
1158O00010C0,22,-22.88639,-43.22657
4122O00300P1,22,-22.923392,-43.374281
3079O00001C2,22,-22.8835,-43.32058
3106O00011C9,22,-22.84171,-43.37129
4128O00083C0,22,-23.002636,-43.324602
4128O00084C0,22,-23.00146,-43.32749
4124O00046C0,22,-22.901318,-43.347259
3076O00014C9,22,-22.830696,-43.326897
3083O00034C0,22,-22.87656,-43.33964
3053O00012C1,22,-22.88404,-43.27717
1005O00190C0,22,-22.909323,-43.174306
3063O00073S1,22,-22.90386,-43.27879
1012O00011C0,22,-22.890046,-43.244457
3079O00041C2,22,-22.884744,-43.316116
3079O00042C2,22,-22.885103,-43.311568
3082O00004C1,22,-22.88256,-43.32373
2033O00197C0,22,-22.92174,-43.2297
1008O00001S0,21,-22.90769,-43.20011
1008O00030S0,21,-22.909665,-43.206426
3076O00126C0,21,-22.82325,-43.32839
3110O00025C0,21,-22.830098,-43.345669
3076O00124C0,21,-22.82177,-43.323799
1005O00004S0,21,-22.905275,-43.192459
1005O00189C0,21,-22.90843,-43.17465
3suv,21,-22.819953,-43.324011
1003O00026C0,21,-22.907569,-43.209274
2020O00012C0,21,-22.952751,-43.175966
1158O00012C0,21,-22.88901,-43.22447
3079O00002C2,21,-22.88445,-43.31751
2031O00018C0,21,-22.992183,-43.253819
4128O00085C0,21,-23.00054,-43.33026
5144O00127C0,21,-22.922123,-43.564381
1014O00093C0,21,-22.917465,-43.194038
3063O00033C2,21,-22.90433,-43.285604
3076O00015C9,21,-22.82836,-43.32443
3106O00046C2,21,-22.840251,-43.368941
4128O00018C0,21,-23.000356,-43.357617
1005O00158S0,21,-22.903662,-43.187524
3053O00011C1,21,-22.88295,-43.2763
3053O00010C1,21,-22.88085,-43.27387
1005O00057S0,21,-22.90319,-43.18456
3076O00053C0,21,-22.84588,-43.3248
1010O00096C0,21,-22.90518,-43.214246
3063O00076C2,21,-22.903066,-43.282178
