stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1005O00030S0,67,-22.900515,-43.177892
1008O00022S0,61,-22.91013,-43.205583
2032O00028C0,60,-22.908498,-43.209965
4128O00172C0,48,-23.0065,-43.309209
3083O00082C0,45,-22.877572,-43.335695
3083O00083C0,45,-22.879495,-43.332542
3064O00002C0,42,-22.88744,-43.2864
3053O00009C1,41,-22.878595,-43.266048
3053O00008C0,40,-22.878863,-43.265859
1008O00005S0,40,-22.908619,-43.201048
3065O00004C0,38,-22.88591,-43.27898
3065O00003C0,38,-22.887155,-43.280679
3066O00059C1,38,-22.886637,-43.287836
3065O00001C0,38,-22.887738,-43.283511
3065O00046C1,38,-22.887427,-43.284126
3066O00060C1,38,-22.88522,-43.2901
3070O00001C2,38,-22.88548,-43.30031
3082O00015C0,38,-22.880945,-43.324178
3066O00058C1,37,-22.88708,-43.28657
4128O00109C0,37,-23.00633,-43.312271
3053O00007C0,37,-22.881083,-43.272751
3082O00054C0,37,-22.881225,-43.329656
3082O00041C1,37,-22.882414,-43.327022
3066O00003C2,36,-22.885668,-43.290084
3071O00006C2,36,-22.8842,-43.29133
1012O00034C0,36,-22.89443,-43.23866
4128O00139C0,36,-23.007424,-43.306098
1012O00009C1,36,-22.88533,-43.25221
1005O00249S0,35,-22.90266,-43.17553
3053O00006C0,35,-22.8822,-43.2754
1012O00033C0,35,-22.89618,-43.23688
3065O00005C0,35,-22.88441,-43.27719
1005O00060C0,34,-22.90623,-43.193405
3155O00002C0,34,-22.88517,-43.25266
1005O00152S0,34,-22.90519,-43.17367
3069O00003C2,34,-22.88646,-43.30281
1012O00032C0,34,-22.897413,-43.236747
1012O00043C0,34,-22.891622,-43.240485
1012O00044C0,34,-22.89067,-43.24193
1012O00008C1,34,-22.887018,-43.250415
3053O00011C1,33,-22.88295,-43.2763
3079O00002C2,33,-22.88445,-43.31751
1005O00180C0,33,-22.90664,-43.18006
3071O00036C1,33,-22.882097,-43.292739
3053O00010C1,33,-22.88085,-43.27387
1010O00096C0,33,-22.90518,-43.214246
1010O00072C0,33,-22.904485,-43.214703
3071O00005C2,32,-22.88182,-43.29431
3069O00011C1,32,-22.88639,-43.30314
3065O00044C1,32,-22.88727,-43.28219
3065O00045C1,32,-22.886308,-43.279923
3079O00041C2,32,-22.884744,-43.316116
3082O00002C0,32,-22.88283,-43.34025
4128O00033C0,32,-23.008462,-43.303731
1005O00018S0,32,-22.90853,-43.17225
3069O00058C2,32,-22.88672,-43.306443
3070O00006C1,32,-22.88538,-43.30128
3082O00005C2,32,-22.88284,-43.3224
3079O00001C2,32,-22.8835,-43.32058
4128O00138C0,32,-23.007165,-43.310983
4128O00057C0,32,-22.999349,-43.35729
3053O00012C1,32,-22.88404,-43.27717
3076O00016C9,32,-22.83048,-43.3269
3069O00057C2,32,-22.88562,-43.30967
3079O00042C2,31,-22.885103,-43.311568
1005O00190C0,31,-22.909323,-43.174306
3076O00017C1,31,-22.83228,-43.32865
3082O00004C1,31,-22.88256,-43.32373
3079O00040C2,31,-22.88498,-43.31429
5o6j,31,-22.906503,-43.17581
1012O00012C0,30,-22.890765,-43.242335
1012O00013C0,30,-22.891768,-43.240794
1003O00026C0,30,-22.907569,-43.209274
1005O00158S0,30,-22.903662,-43.187524
1005O00094C0,30,-22.90988,-43.16846
3082O00018C0,30,-22.882534,-43.33687
3079O00012C1,29,-22.884551,-43.315317
1005O00189C0,29,-22.90843,-43.17465
3082O00017C0,29,-22.881116,-43.330479
3039O00009C0,29,-22.88592,-43.23489
1008O00030S0,29,-22.909665,-43.206426
r156,29,-22.877169,-43.336312
1005O00198C0,29,-22.9044,-43.18332
3069O00013C1,29,-22.88614,-43.30788
1005O00181C0,29,-22.90649,-43.17764
3079O00011C1,29,-22.88489,-43.31306
3083O00027C0,29,-22.872642,-43.338874
3155O00003C0,29,-22.886927,-43.250822
3083O00081C0,29,-22.875623,-43.339006
3083O00026C0,29,-22.87407,-43.33687
3069O00014C1,29,-22.8852,-43.31011
4124O00004C0,28,-22.898012,-43.352228
3082O00007C0,28,-22.88058,-43.32313
1158O00001C0,28,-22.885926,-43.228785
1005O00012S0,28,-22.905624,-43.193575
3069O00012C1,28,-22.88659,-43.306
3071O00004C2,28,-22.88341,-43.29648
3071O00033C2,28,-22.884601,-43.297845
3071O00016C1,28,-22.88154,-43.29443
3079O00010C1,28,-22.88353,-43.31986
3155O00001C0,28,-22.882581,-43.254845
3039O00038C0,28,-22.884608,-43.236203
3039O00008C0,28,-22.87796,-43.24145
3071O00017C1,28,-22.882831,-43.29628
4128O00018C0,28,-23.000356,-43.357617
1005O00376S2,28,-22.903617,-43.185315
1012O00036C9,28,-22.89905,-43.23663
3083O00017C0,28,-22.87777,-43.336183
2035O00059C0,28,-22.910653,-43.221862
3052O00002C1,27,-22.878337,-43.261822
5144O00486P9,27,-22.9016,-43.55535
3070O00005C1,27,-22.8846,-43.29814
3083O00035C0,27,-22.87924,-43.34165
1008O00026S0,27,-22.9075,-43.19952
3082O00013C1,27,-22.8828,-43.32159
3052O00001C0,27,-22.87833,-43.26397
4124O00006C0,27,-22.89818,-43.350146
1012O00035C9,27,-22.898993,-43.239452
3052O00003C0,27,-22.880188,-43.259389
1005O00004S0,26,-22.905275,-43.192459
1005O00057S0,26,-22.90319,-43.18456
3suv,26,-22.819953,-43.324011
3082O00019C0,26,-22.882138,-43.331007
3082O00014C1,26,-22.88227,-43.3239
3082O00009C0,26,-22.87774,-43.3268
3082O00010C0,26,-22.87782,-43.32906
2020O00136C0,26,-22.949609,-43.180646
1008O00002S0,26,-22.909508,-43.205978
4128O00085C0,26,-23.00054,-43.33026
1005O00197C0,26,-22.905593,-43.182786
3040O00052C2,26,-22.867246,-43.255591
4128O00023C0,26,-23.000556,-43.346124
4128O00021C0,26,-23.000491,-43.349954
4128O00183C0,25,-23.000909,-43.335715
3052O00004C1,25,-22.880471,-43.258578
3083O00012C0,25,-22.87903,-43.33149
4128O00025C0,25,-23.000678,-43.339595
3155O00004C1,25,-22.88359,-43.25369
3155O00005C1,25,-22.882377,-43.254823
4128O00024C0,25,-23.000634,-43.342706
ejlo,25,-22.89211,-43.214487
3052O00005C1,25,-22.878107,-43.262168
56qn,25,-22.903383,-43.209714
2035O00002S0,25,-22.91533,-43.2325
4128O00083C0,25,-23.002636,-43.324602
4128O00084C0,25,-23.00146,-43.32749
3106O00044C9,25,-22.845803,-43.377968
3106O00013C9,25,-22.84486,-43.37643
3082O00016C0,25,-22.88163,-43.32648
1003O00028C0,25,-22.907146,-43.209478
4128O00030C0,25,-23.004069,-43.323149
4128O00020C0,25,-23.000453,-43.352329
2035O00086C0,25,-22.913135,-43.22715
3043L00106C0,24,-22.840567,-43.28129
2035O00087C0,24,-22.911268,-43.224872
5134O00038C9,24,-22.84688,-43.37968
1010O00073C0,24,-22.901864,-43.216433
1003O00031C0,24,-22.906314,-43.209542
4128O00082C0,24,-23.004624,-43.319744
4128O00090C0,24,-22.999791,-43.346258
1010O00084C0,24,-22.8993,-43.21664
3063O00027S9,24,-22.90576,-43.27688
1010O00086C0,24,-22.89585,-43.21893
1010O00054C0,24,-22.89716,-43.22196
1010O00109C0,24,-22.897982,-43.217549
2020O00137C0,24,-22.955002,-43.178405
4128O00091C0,24,-22.99971,-43.35033
1008O00001S0,24,-22.90769,-43.20011
4128O00223C0,24,-23.007562,-43.303971
2035O00079C0,24,-22.910814,-43.21828
3052O00006C1,24,-22.87806,-43.26402
2024O00026S0,24,-22.963709,-43.178321
1010O00021C0,24,-22.89479,-43.21542
3063O00073S1,24,-22.90386,-43.27879
2032O00021C0,24,-22.91154,-43.214381
4128O00027C0,24,-23.00115,-43.331866
1005O00234C0,24,-22.908392,-43.189263
4128O00028C0,24,-23.00156,-43.3295
4128O00029C0,24,-23.00221,-43.327861
a3cr,24,-22.999633,-43.353628
3076O00024C2,24,-22.832239,-43.328348
4128O00184C0,24,-23.00346,-43.324697
3041O00013C0,23,-22.853,-43.24792
4127O00074C0,23,-23.00378,-43.30469
2035O00071C0,23,-22.915485,-43.229139
5141O00256C9,23,-22.880073,-43.466605
2035O00019S0,23,-22.91365,-43.23451
3066O00031C2,23,-22.90501,-43.29376
3110O00038C0,23,-22.83518,-43.341
3041O00014C0,23,-22.85489,-43.24796
3083O00034C0,23,-22.87656,-43.33964
1012O00011C0,23,-22.890046,-43.244457
4124O00046C0,23,-22.901318,-43.347259
c3qq,23,-23.001586,-43.366914
2020O00134C0,23,-22.943212,-43.180541
3040O00042C0,23,-22.855944,-43.248033
1010O00130C1,23,-22.900021,-43.211165
1010O00055C0,23,-22.899433,-43.222963
2020O00135C0,23,-22.945815,-43.181907
3077O00009C0,23,-22.83734,-43.3399
5141O00010C9,23,-22.87553,-43.46543
1010O00079C0,22,-22.90411,-43.21611
3063O00077C2,22,-22.902558,-43.281207
1010O00080C0,22,-22.90341,-43.21449
1010O00081C0,22,-22.902025,-43.210979
4128O00089C0,22,-22.999832,-43.343872
2036O00058S9,22,-22.917543,-43.244913
4127O00071C0,22,-22.99326,-43.30326
2031O00001C0,22,-22.999269,-43.269144
3066O00028C0,22,-22.90446,-43.29805
3076O00015C9,22,-22.82836,-43.32443
3110O00036C0,22,-22.831528,-43.344526
5139O00233C0,22,-22.866032,-43.425502
3110O00037C0,22,-22.83246,-43.34291
3063O00031C2,22,-22.905269,-43.291252
2020O00012C0,22,-22.952751,-43.175966
3040O00015C0,22,-22.87026,-43.24704
1005O00242P0,22,-22.908986,-43.170703
4127O00073C0,22,-23.00012,-43.30495
4128O00086C0,22,-23.000258,-43.333797
3063O00076C2,22,-22.903066,-43.282178
3076O00147C0,22,-22.827774,-43.321765
3082O00051C0,22,-22.882382,-43.333901
4128O00087C0,22,-22.99995,-43.33863
1010O00020C0,22,-22.90617,-43.21025
5135O00013C0,22,-22.853299,-43.393713
4127O00078C0,22,-22.99048,-43.302
3043O00036C0,22,-22.841262,-43.275771
3063O00033C2,22,-22.90433,-43.285604
3043O00037C0,22,-22.840654,-43.277909
2035O00078C0,22,-22.909899,-43.22033
1005O00375S2,22,-22.903332,-43.184461
1010O00059C9,22,-22.90004,-43.22381
3106O00011C9,21,-22.84171,-43.37129
3040O00013C1,21,-22.86074,-43.24814
1012O00039C0,21,-22.89788,-43.24049
5149O00193C9,21,-22.91523,-43.68527
3043O00038C0,21,-22.84008,-43.279781
2020O00133C0,21,-22.942619,-43.177023
3106O00045C2,21,-22.8431,-43.37356
1010O00092C0,21,-22.90001,-43.234537
3106O00046C2,21,-22.840251,-43.368941
dies,21,-22.856472,-43.248027
5139O00055C9,21,-22.87894,-43.42575
3063O00032C2,21,-22.90451,-43.28764
3061O00047C0,21,-22.915859,-43.262721
5139O00010C9,21,-22.876478,-43.426874
5139O00009C9,21,-22.87672,-43.423429
2024O00045S0,21,-22.9818,-43.19247
2024O00032S0,21,-22.983906,-43.191828
1010O00064C9,21,-22.90045,-43.23258
1010O00061C0,21,-22.899862,-43.226297
1010O00062C9,21,-22.89995,-43.229544
3083O00021C9,21,-22.86334,-43.3326
4127O00072C0,21,-22.996174,-43.304783
