stop_id,quantidade_ocorrencias,stop_lat,stop_lon
1005O00030S0,75,-22.900515,-43.177892
ejlo,46,-22.89211,-43.214487
1005O00012S0,45,-22.905624,-43.193575
5144O00486P9,44,-22.9016,-43.55535
1005O00249S0,42,-22.90266,-43.17553
4128O00172C0,42,-23.0065,-43.309209
3066O00060C1,42,-22.88522,-43.2901
3066O00059C1,41,-22.886637,-43.287836
3065O00046C1,41,-22.887427,-43.284126
3066O00058C1,40,-22.88708,-43.28657
1008O00022S0,40,-22.91013,-43.205583
1008O00030S0,40,-22.909665,-43.206426
3071O00036C1,39,-22.882097,-43.292739
1012O00032C0,39,-22.897413,-43.236747
4128O00139C0,39,-23.007424,-43.306098
1012O00033C0,39,-22.89618,-43.23688
4128O00109C0,38,-23.00633,-43.312271
1003O00028C0,38,-22.907146,-43.209478
1012O00034C0,38,-22.89443,-43.23866
2032O00028C0,38,-22.908498,-43.209965
1004O00006C0,37,-22.88546,-43.22908
1010O00096C0,37,-22.90518,-43.214246
3039O00021C0,37,-22.88557,-43.23452
1010O00072C0,37,-22.904485,-43.214703
1008O00026S0,37,-22.9075,-43.19952
3157O00003C0,37,-22.877531,-43.240994
3083O00083C0,37,-22.879495,-43.332542
56qn,37,-22.903383,-43.209714
3039O00005C0,37,-22.884006,-43.235933
3082O00002C0,37,-22.88283,-43.34025
3082O00015C0,37,-22.880945,-43.324178
3039O00006C0,37,-22.880673,-43.238808
3082O00018C0,36,-22.882534,-43.33687
6oes,36,-22.887372,-43.223594
1005O00018S0,36,-22.90853,-43.17225
3065O00044C1,36,-22.88727,-43.28219
3065O00045C1,36,-22.886308,-43.279923
3064O00002C0,36,-22.88744,-43.2864
1005O00152S0,36,-22.90519,-43.17367
3070O00001C2,35,-22.88548,-43.30031
3083O00082C0,35,-22.877572,-43.335695
1004O00005C0,35,-22.88464,-43.2265
1004O00003C0,35,-22.8886,-43.22001
4128O00057C0,35,-22.999349,-43.35729
4128O00138C0,34,-23.007165,-43.310983
1003O00026C0,34,-22.907569,-43.209274
3071O00006C2,33,-22.8842,-43.29133
3082O00019C0,33,-22.882138,-43.331007
3082O00007C0,33,-22.88058,-43.32313
3053O00010C1,33,-22.88085,-43.27387
3053O00011C1,33,-22.88295,-43.2763
3053O00012C1,33,-22.88404,-43.27717
3066O00003C2,33,-22.885668,-43.290084
3053O00009C1,33,-22.878595,-43.266048
3083O00035C0,33,-22.87924,-43.34165
3083O00017C0,32,-22.87777,-43.336183
3082O00051C0,32,-22.882382,-43.333901
3079O00001C2,32,-22.8835,-43.32058
1008O00002S0,32,-22.909508,-43.205978
3082O00004C1,32,-22.88256,-43.32373
1012O00009C1,32,-22.88533,-43.25221
3082O00014C1,32,-22.88227,-43.3239
3082O00005C2,32,-22.88284,-43.3224
1012O00043C0,31,-22.891622,-43.240485
3106O00048C1,31,-22.841234,-43.371505
3069O00011C1,31,-22.88639,-43.30314
3157O00005C2,31,-22.864536,-43.247635
3079O00002C2,31,-22.88445,-43.31751
3157O00008C0,31,-22.853761,-43.247339
4127O00034C0,31,-22.99325,-43.30288
4127O00061C0,31,-22.99186,-43.30226
3157O00007C0,31,-22.85692,-43.24747
3157O00009C0,31,-22.851669,-43.247233
3070O00006C1,31,-22.88538,-43.30128
1012O00008C1,31,-22.887018,-43.250415
1012O00044C0,31,-22.89067,-43.24193
3106O00013C9,31,-22.84486,-43.37643
5134O00038C9,31,-22.84688,-43.37968
2032O00008S9,30,-22.91608,-43.212
3071O00005C2,30,-22.88182,-43.29431
2033O00040S9,30,-22.91704,-43.21443
3076O00146C0,30,-22.820558,-43.319558
4128O00033C0,30,-23.008462,-43.303731
5141O00026C9,30,-22.860023,-43.457794
4127O00075C0,30,-23.00432,-43.30419
3106O00044C9,30,-22.845803,-43.377968
2020O00012C0,30,-22.952751,-43.175966
5139O00234C0,30,-22.863269,-43.439895
3082O00013C1,30,-22.8828,-43.32159
4127O00036C9,30,-22.98869,-43.30136
3083O00062C0,30,-22.86626,-43.33435
3157O00006C0,30,-22.86092,-43.2475
4127O00076C0,30,-23.000375,-43.304596
4127O00033C0,30,-22.995489,-43.30392
3106O00001C0,30,-22.83941,-43.36856
1008O00005S0,30,-22.908619,-43.201048
5141O00025C0,30,-22.859405,-43.46113
1005O00158S0,29,-22.903662,-43.187524
3082O00016C0,29,-22.88163,-43.32648
3079O00042C2,29,-22.885103,-43.311568
5139O00235C9,29,-22.86227,-43.44518
3082O00017C0,29,-22.881116,-43.330479
3079O00040C2,29,-22.88498,-43.31429
5144O00413C0,29,-22.912782,-43.564164
5140O00008C0,29,-22.861664,-43.448712
1005O00004S0,29,-22.905275,-43.192459
5139O00230C0,29,-22.86376,-43.43729
5139O00231C0,29,-22.864042,-43.435499
3083O00003C0,29,-22.86851,-43.33486
3079O00041C2,29,-22.884744,-43.316116
4124O00004C0,29,-22.898012,-43.352228
5144O00414C0,29,-22.91077,-43.5646
3suv,29,-22.819953,-43.324011
4124O00006C0,29,-22.89818,-43.350146
1005O00234C0,29,-22.908392,-43.189263
3106O00006C0,29,-22.84272,-43.37389
5139O00232C9,29,-22.864645,-43.43201
3083O00086C9,29,-22.87163,-43.33592
3083O00081C0,29,-22.875623,-43.339006
3079O00010C1,29,-22.88353,-43.31986
3079O00012C1,29,-22.884551,-43.315317
2032O00012S9,29,-22.9158,-43.21098
3069O00057C2,29,-22.88562,-43.30967
5144O00020C0,29,-22.90429,-43.55658
3071O00016C1,29,-22.88154,-43.29443
4128O00174C0,29,-23.008067,-43.303417
1008O00001S0,29,-22.90769,-43.20011
3082O00041C1,28,-22.882414,-43.327022
3082O00054C0,28,-22.881225,-43.329656
5139O00233C0,28,-22.866032,-43.425502
5144O00461C0,28,-22.905703,-43.558953
5139O00006C9,28,-22.8634,-43.43716
5139O00008C9,28,-22.86207,-43.44451
5140O00073C0,28,-22.861062,-43.451848
3065O00001C0,28,-22.887738,-43.283511
3065O00004C0,28,-22.88591,-43.27898
3065O00003C0,28,-22.887155,-43.280679
3069O00012C1,28,-22.88659,-43.306
4128O00018C0,28,-23.000356,-43.357617
3079O00011C1,28,-22.88489,-43.31306
3155O00005C1,28,-22.882377,-43.254823
3052O00005C1,28,-22.878107,-43.262168
5140O00079C9,28,-22.861314,-43.44854
3069O00014C1,28,-22.8852,-43.31011
3069O00013C1,28,-22.88614,-43.30788
3070O00005C1,28,-22.8846,-43.29814
3069O00058C2,28,-22.88672,-43.306443
3071O00017C1,28,-22.882831,-43.29628
5141O00256C9,28,-22.880073,-43.466605
2033O00042S9,28,-22.92163,-43.22848
2033O00026S9,28,-22.92097,-43.22676
2033O00041S9,28,-22.91847,-43.21807
5139O00205C9,28,-22.862677,-43.441036
3082O00009C0,27,-22.87774,-43.3268
5139O00204C9,27,-22.86538,-43.425586
3082O00010C0,27,-22.87782,-43.32906
4117O00006C0,27,-22.95425,-43.35474
1008O00006S0,27,-22.909737,-43.206137
2033O00120S9,27,-22.91935,-43.22004
5139O00003C9,27,-22.86502,-43.42724
5139O00004C9,27,-22.864184,-43.432799
3083O00075C0,27,-22.877277,-43.333774
3053O00008C0,27,-22.878863,-43.265859
5140O00080C9,27,-22.860843,-43.451217
3052O00004C1,27,-22.880471,-43.258578
3052O00006C1,27,-22.87806,-43.26402
3106O00009C1,27,-22.84578,-43.37888
5141O00024C9,27,-22.857615,-43.472534
3155O00004C1,27,-22.88359,-43.25369
5135O00013C0,27,-22.853299,-43.393713
5141O00001C9,27,-22.859704,-43.457426
1010O00062C9,27,-22.89995,-43.229544
1010O00064C9,27,-22.90045,-43.23258
3071O00033C2,27,-22.884601,-43.297845
5144O00456C9,27,-22.907814,-43.563654
r156,27,-22.877169,-43.336312
3106O00008C0,27,-22.8444,-43.37664
3069O00003C2,27,-22.88646,-43.30281
3106O00007C1,27,-22.84398,-43.37593
2031O00014C0,27,-22.99749,-43.26473
1010O00061C0,27,-22.899862,-43.226297
5134O00002C0,27,-22.847904,-43.382307
au3n,26,-22.96399,-43.335019
3063O00013C9,26,-22.904487,-43.27298
3065O00005C0,26,-22.88441,-43.27719
djub,26,-22.996211,-43.260525
3053O00007C0,26,-22.881083,-43.272751
5162O00021C0,26,-22.85609,-43.4926
5162O00005C0,26,-22.85552,-43.48228
3106O00011C9,26,-22.84171,-43.37129
5162O00022C0,26,-22.855105,-43.487509
5135O00002C0,26,-22.8621,-43.41192
2033O00025S9,26,-22.920703,-43.223207
5144O00094C0,26,-22.91523,-43.56322
3106O00046C2,26,-22.840251,-43.368941
