stop_id,quantidade_ocorrencias,stop_lat,stop_lon
5162O00021C0,42,-22.85609,-43.4926
5139O00234C0,42,-22.863269,-43.439895
5140O00008C0,41,-22.861664,-43.448712
5141O00026C9,41,-22.860023,-43.457794
5139O00233C0,41,-22.866032,-43.425502
5141O00024C9,39,-22.857615,-43.472534
5162O00005C0,39,-22.85552,-43.48228
3106O00045C2,38,-22.8431,-43.37356
5139O00232C9,38,-22.864645,-43.43201
5139O00231C0,38,-22.864042,-43.435499
5139O00230C0,38,-22.86376,-43.43729
3106O00011C9,38,-22.84171,-43.37129
5141O00025C0,37,-22.859405,-43.46113
3106O00044C9,37,-22.845803,-43.377968
3106O00013C9,37,-22.84486,-43.37643
5139O00235C9,37,-22.86227,-43.44518
5140O00073C0,37,-22.861062,-43.451848
5134O00038C9,37,-22.84688,-43.37968
3106O00046C2,36,-22.840251,-43.368941
5141O00315C9,35,-22.857112,-43.496716
5135O00013C0,34,-22.853299,-43.393713
5162O00022C0,34,-22.855105,-43.487509
5135O00012C9,33,-22.861795,-43.41057
5134O00002C0,31,-22.847904,-43.382307
5144O00486P9,31,-22.9016,-43.55535
3106O00009C1,31,-22.84578,-43.37888
3106O00007C1,31,-22.84398,-43.37593
3106O00008C0,31,-22.8444,-43.37664
5141O00256C9,30,-22.880073,-43.466605
3039O00038C0,29,-22.884608,-43.236203
3039O00009C0,29,-22.88592,-43.23489
3039O00008C0,29,-22.87796,-43.24145
2032O00028C0,29,-22.908498,-43.209965
5149O00203C9,29,-22.91555,-43.68352
1008O00022S0,29,-22.91013,-43.205583
3110O00010C0,28,-22.831865,-43.352376
3041O00014C0,28,-22.85489,-43.24796
3041O00013C0,28,-22.853,-43.24792
3110O00009C9,28,-22.83264,-43.3546
3112O00016C2,28,-22.836516,-43.362887
3040O00042C0,28,-22.855944,-43.248033
5139O00002C9,27,-22.865192,-43.422267
5149O00230C0,27,-22.9151,-43.68275
5134O00003C0,27,-22.85086,-43.38424
3110O00007C9,27,-22.833929,-43.35793
5135O00002C0,26,-22.8621,-43.41192
3106O00048C1,26,-22.841234,-43.371505
3106O00006C0,26,-22.84272,-43.37389
5143O00001C0,26,-22.86114,-43.53394
3106O00001C0,26,-22.83941,-43.36856
5139O00204C9,26,-22.86538,-43.425586
5141O00001C9,25,-22.859704,-43.457426
5140O00079C9,25,-22.861314,-43.44854
dies,25,-22.856472,-43.248027
5140O00080C9,25,-22.860843,-43.451217
5139O00004C9,25,-22.864184,-43.432799
5139O00006C9,25,-22.8634,-43.43716
5143O00002C9,25,-22.86053,-43.52155
5134O00023C0,25,-22.85069,-43.38404
5139O00205C9,25,-22.862677,-43.441036
5139O00008C9,25,-22.86207,-43.44451
1158O00001C0,25,-22.885926,-43.228785
5139O00003C9,25,-22.86502,-43.42724
3040O00015C0,25,-22.87026,-43.24704
3040O00013C1,25,-22.86074,-43.24814
5141O00021C9,25,-22.860723,-43.513684
1158O00010C0,24,-22.88639,-43.22657
5135O00001C9,24,-22.85307,-43.393978
5144O00067C9,24,-22.90144,-43.55557
5149O00193C9,24,-22.91523,-43.68527
1005O00030S0,23,-22.900515,-43.177892
5162O00007C9,23,-22.85476,-43.49044
5162O00003C9,23,-22.8553,-43.49289
5162O00001C9,23,-22.85523,-43.48228
5162O00002C9,23,-22.854785,-43.487522
1158O00012C0,23,-22.88901,-43.22447
3040O00014C1,23,-22.86471,-43.24819
3076O00026C9,23,-22.82455,-43.3324
tsbj,23,-22.891756,-43.222178
1010O00047C0,23,-22.8904,-43.21891
5149O00030C9,22,-22.91419,-43.68007
5144O00485P9,22,-22.90168,-43.55506
1010O00130C1,22,-22.900021,-43.211165
5149O00223C9,22,-22.91665,-43.6798
5149O00221C9,22,-22.92036,-43.67992
5149O00222C9,22,-22.919,-43.68013
1010O00021C0,22,-22.89479,-43.21542
1003O00028C0,21,-22.907146,-43.209478
5144O00050C9,21,-22.89185,-43.55925
3039O00021C0,21,-22.88557,-43.23452
ejlo,21,-22.89211,-43.214487
56qn,21,-22.903383,-43.209714
5144O00049C9,21,-22.89362,-43.5589
5141O00254C9,21,-22.8568,-43.47218
3112O00002C1,21,-22.8366,-43.363926
5141O00010C9,21,-22.87553,-43.46543
3110O00003C1,21,-22.832236,-43.354663
3110O00006C1,21,-22.831184,-43.352072
3110O00052C0,21,-22.833444,-43.357947
3039O00006C0,21,-22.880673,-43.238808
3039O00005C0,21,-22.884006,-43.235933
3076O00124C0,21,-22.82177,-43.323799
1004O00006C0,21,-22.88546,-43.22908
3157O00003C0,21,-22.877531,-43.240994
3047O00013C0,21,-22.81771,-43.30707
1004O00003C0,21,-22.8886,-43.22001
1004O00005C0,21,-22.88464,-43.2265
3046O00003C0,21,-22.81486,-43.29358
6oes,20,-22.887372,-43.223594
